StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
1574786788.384258, e        ,tcp,192.168.0.126,53311,   ->,3.228.110.234,443,41,12208,CON
1574786788.629279, e        ,tcp,192.168.0.126,53170,   ->,23.12.144.170,443,8,562,RST
1574786788.631240, e     A  ,igmp,192.168.0.189,,   ->,224.0.0.251,,1,46,INT
1574786788.631410, e     A  ,igmp,192.168.0.189,,   ->,224.0.0.251,,1,46,INT
1574786788.733818, *        ,llc,01:00:0c:cc:cc:cc,170,   ->,c8:0a:a9:2d:cb:f1,170,1,101,REQ
1574786789.143414, e        ,arp,192.168.0.102,,  who,192.168.0.200,,5,300,INT
1574786789.143423, e        ,ipv6-icmp,fe80::1c33:e83d:59b8:c9ae,143,   ->,ff02::16,0,2,180,MHR
1574786789.180947, e        ,tcp,192.168.0.126,53302,   ->,99.84.214.165,443,57,41394,CON
1574786789.450640, e        ,udp,192.168.0.135,5353,   ->,224.0.0.251,5353,3,405,REQ
1574786789.450775, e        ,arp,192.168.0.109,,  who,192.168.0.135,,2,120,INT
1574786789.451089, e        ,arp,192.168.0.105,,  who,192.168.0.135,,2,120,INT
1574786790.209792, e        ,tcp,192.168.0.126,53270,   ->,68.67.179.133,443,8,578,RST
1574786790.475597, e        ,udp,192.168.0.109,5353,   ->,224.0.0.251,5353,6,2442,REQ
1574786790.477534, e        ,udp,192.168.0.105,5353,   ->,224.0.0.251,5353,6,2442,REQ
1574786790.604918, e        ,udp,192.168.0.126,63429,  <->,192.168.0.1,53,2,285,CON
1574786790.623751, e        ,tcp,192.168.0.126,53312,   ->,52.96.69.2,443,40,23992,CON
1574786790.881131, e        ,udp,192.168.0.126,50761,  <->,192.168.0.1,53,2,162,CON
1574786790.896876, e        ,tcp,192.168.0.126,53313,   ->,99.86.191.154,443,103,67558,CON
1574786790.998286, e        ,udp,192.168.0.126,49295,  <->,192.168.0.1,53,2,211,CON
1574786791.016165, e        ,tcp,192.168.0.126,53314,   ->,99.86.225.229,443,1805,2010509,CON
1574786791.088913, e        ,arp,192.168.0.101,,  who,192.168.0.200,,6,360,INT
1574786791.124271, e        ,tcp,192.168.0.126,53274,   ->,199.166.0.24,443,8,578,RST
1574786791.209580, e        ,tcp,192.168.0.126,53276,   ->,104.244.36.32,443,8,578,RST
1574786791.226439, e        ,tcp,192.168.0.126,53275,   ->,199.166.0.200,443,8,578,RST
1574786791.632907, e        ,tcp,192.168.0.126,53195,   ->,172.217.5.226,443,12,1285,CON
1574786791.683769, e        ,tcp,192.168.0.126,52938,  <?>,18.234.32.175,443,2,120,CON
1574786792.249518, e        ,tcp,192.168.0.126,64279,  <?>,52.27.133.176,443,110,18722,CON
1574786792.257623, e s      ,tcp,192.168.0.126,53145,  <?>,40.97.30.130,443,22,9726,CON
1574786792.522566, e        ,arp,192.168.0.100,,  who,192.168.0.200,,4,240,INT
1574786792.546531, e        ,tcp,52.96.28.2,443,  <?>,192.168.0.126,64761,2,152,CON
1574786792.546536, e        ,tcp,52.96.36.130,443,  <?>,192.168.0.126,64210,2,152,CON
1574786792.554780, e        ,tcp,52.96.36.130,443,  <?>,192.168.0.126,64212,2,152,CON
1574786792.556361, e        ,tcp,52.96.36.130,443,  <?>,192.168.0.126,64211,2,152,CON
1574786792.817880, e        ,tcp,192.168.0.126,53257,   ->,3.225.50.203,443,5,933,CON
1574786793.047653, e        ,tcp,140.82.114.25,443,  <?>,192.168.0.126,52622,4,330,CON
1574786793.102366, e        ,tcp,192.168.0.126,53186,   ->,23.194.117.40,443,8,562,RST
1574786793.351556, e        ,tcp,192.168.0.126,53240,   ->,23.46.198.165,443,8,5821,CON
1574786793.855667, e        ,tcp,192.168.0.126,53227,   ->,63.241.108.104,443,1,60,RST
1574786794.160997, e        ,arp,192.168.0.102,,  who,192.168.0.200,,4,240,INT
1574786794.265136, e        ,tcp,192.168.0.126,53263,   ->,34.238.28.138,9573,8,1050,CON
1574786794.402491, e        ,tcp,192.168.0.126,53308,   ->,13.107.136.9,443,8,3636,CON
1574786794.910717, e        ,tcp,192.168.0.126,53250,   ->,34.205.245.168,443,5,1641,CON
1574786795.337335, e        ,tcp,192.168.0.126,53309,   ->,18.211.118.21,443,6,566,CON
1574786795.900619, e        ,udp,192.168.0.126,51462,  <->,192.168.0.1,53,2,176,CON
1574786795.904596, e        ,tcp,192.168.0.126,53315,   ->,172.217.164.174,443,72,13351,FIN
1574786795.981622, e        ,tcp,192.168.0.126,53316,   ->,17.249.105.246,443,18,8438,CON
1574786796.054389, e        ,tcp,192.168.0.126,53216,   ->,23.209.38.160,443,8,562,RST
1574786796.098279, e *      ,tcp,192.168.0.126,53317,   ->,216.92.145.94,443,514,453029,CON
1574786796.106867, e        ,udp,192.168.0.121,38463,   ->,255.255.255.255,10001,1,188,INT
1574786796.107390, e        ,udp,192.168.0.122,34221,   ->,255.255.255.255,10001,1,188,INT
1574786796.755812, e        ,udp,192.168.0.126,54631,  <->,192.168.0.1,53,2,240,CON
1574786796.756252, e        ,udp,192.168.0.126,59931,  <->,192.168.0.1,53,2,222,CON
1574786796.756798, e        ,tcp,192.168.0.126,53318,   ->,216.92.145.94,443,289,252597,CON
1574786796.773545, e        ,tcp,192.168.0.126,53319,   ->,23.194.116.232,443,49,18971,CON
1574786796.774676, e s      ,tcp,192.168.0.126,53320,   ->,23.194.116.232,443,34,10912,CON
1574786797.028284, e        ,arp,192.168.0.101,,  who,192.168.0.200,,3,180,INT
1574786797.166400, e        ,tcp,192.168.0.126,53321,   ->,216.92.145.94,443,27,17640,TIM
1574786797.644729, e        ,tcp,192.168.0.126,53192,   ->,23.46.198.99,443,8,564,RST
1574786798.258748, e        ,tcp,192.168.0.126,53252,   ->,23.46.201.38,443,8,562,RST
1574786798.258690, e        ,tcp,192.168.0.126,53215,   ->,23.209.38.186,443,8,562,RST
1574786798.461854, e        ,udp,192.168.0.155,57621,   ->,192.168.0.255,57621,1,86,REQ
1574786798.481205, e        ,tcp,192.168.0.126,53242,   ->,23.197.22.70,443,8,562,RST
1574786798.564742, e        ,arp,192.168.0.100,,  who,192.168.0.200,,4,240,INT
1574786799.578086, e        ,tcp,192.168.0.126,53211,   ->,35.169.46.54,443,8,554,RST
1574786799.578509, e        ,tcp,192.168.0.126,53209,   ->,192.243.250.58,443,5,382,RST
1574786799.578743, e        ,tcp,192.168.0.126,53174,   ->,34.230.214.69,443,8,554,RST
1574786799.578993, e        ,tcp,192.168.0.126,53176,   ->,34.231.140.119,443,5,361,FIN
1574786799.579264, e        ,tcp,192.168.0.126,53194,   ->,52.1.137.156,443,8,554,RST
1574786799.579509, e        ,tcp,192.168.0.126,53256,   ->,23.46.177.14,443,8,554,RST
1574786799.579716, e        ,tcp,192.168.0.126,53191,   ->,139.104.188.6,443,7,531,FIN
1574786799.579930, e        ,tcp,192.168.0.126,53232,   ->,23.46.198.165,443,8,540,RST
1574786799.580132, e        ,tcp,192.168.0.126,53184,   ->,23.209.38.155,443,8,538,RST
1574786799.580452, e        ,tcp,192.168.0.126,53210,   ->,52.1.137.156,443,8,554,RST
1574786799.580664, e        ,tcp,192.168.0.126,53204,   ->,23.46.197.37,443,8,538,RST
1574786799.580904, e        ,tcp,192.168.0.126,53198,   ->,139.104.188.6,443,7,531,FIN
1574786799.836998, e        ,tcp,192.168.0.126,53312,   ->,52.96.69.2,443,8,5827,TIM
1574786799.936008, e        ,udp,192.168.0.126,62940,  <->,192.168.0.1,53,2,234,CON
1574786799.953251, e        ,tcp,192.168.0.126,53322,   ->,65.55.44.109,443,18,6604,FIN
1574786800.202698, e        ,arp,192.168.0.102,,  who,192.168.0.200,,2,120,INT
1574786801.535683, e g      ,tcp,40.97.170.178,443,  <?>,192.168.0.126,64208,6,1485,TIM
1574786801.631635, e        ,tcp,192.168.0.126,53195,   ->,172.217.5.226,443,12,1232,TIM
1574786802.148507, e        ,arp,192.168.0.101,,  who,192.168.0.200,,1,60,INT
